Propriétaire du contact,Commercial,Représentant légale,Nom commercial,Numéro de téléphone,Adresse e-mail,ADRESSE,SECTEUR,METIER/Description,SIRET,IDCC,Note à moi même,Conclusion
galmar.commercial@disciplina.re,Brandon,,librairie papeterie de sainte-clotilde,0692 85 54 75 ,libpap.stclotilde@orange.fr,42 AVENUE LECONTE DE LISLE,st clotilde,,75096282100013,,,Non of apprenti le 11/03/2026
galmar.commercial@disciplina.re,Brandon,,HOME DESIGN,0692 60 72 42,,836 RUE CAMBUSTON 97440 ,saint andre ,,79346719200027,,,Fermé le 17/03/2026
galmar.commercial@disciplina.re,Brandon,,cuisine habitat,0692 66 15 42 ,remy.grondin@cuisinehabitat.re,11 ZONE DE LA COCOTERAIE,saint andre ,,81172071300031,,,Peut être OF le 11/03/2026
galmar.commercial@disciplina.re,Brandon,,SNACK SMS,692677999,,"FACE A LA POSTE RUE PIETONE, RUE DU MARECHAL LECLERC, 97400 SAINT-DENIS",SAINT-DENIS,,79407040900014,,,OUI APPRENTI LE 11/03/2026
galmar.commercial@disciplina.re,Brandon,, boulangerie Benjamin Doubi,0262 32 20 53,,620 CHEMIN BEL OMBRE,st andre,,982 537 367 00012,,,OUI le 08/04/2026
galmar.commercial@disciplina.re,Brandon,,CASSONADE CAFE,0692 11 47 10 ,, 18 rue marechal leclerc ,saint-denis,,94139553500011,,,Non le 19/03/2026
galmar.commercial@disciplina.re,Brandon,,TOP MOTEUR OI,0602 70 58 49,,"Sainte-Clotilde
33 RUE LORY LES HAUTS
97490 SAINT-DENIS",SAINT-DENIS,,48025271700057,,,Oui le 16/03/2026
galmar.commercial@disciplina.re,Brandon,,SASU RAMA CHAUSSURES,692345465,,RESIDENCE CALICE APP COMMERCE 2 405 AVENUE DU BEAU PAYS 97438 SAINTE-MARIE,SAINTE-MARIE,,89299194400026,,,Non of et apprenti le 16/03/2026
galmar.commercial@disciplina.re,,,CHAUSSEO,262870339,,16 RUE GEORGES POMPIDOU 97470 SAINT-BENOIT,SAINT-BENOIT,,43901146100076,,,Ne repond pas le 17/03/2026
galmar.commercial@disciplina.re,,,les milles epis,0692 00 33 64,,"22 BOULEVARD NOTRE DAME DE LA TRINITE
97400 SAINT-DENIS",SAINT-DENIS,,80355960800010,,"A deja fait appels au formations continu,plus de besoins en of et apprenti",Non of-Non apprenti le 17/03/2026
galmar.commercial@disciplina.re,,,ô ti sucré salé,06 93 82 15 83 / 0262 30 88 91,,CHEMIN DU CENTRE 216 RUELLE CAZEAU, Sainte André,,91005178800016,,,
galmar.commercial@disciplina.re,,,LE BUNKER,02 62 59 36 84,balokeri@gmail.com,"22 RUE SUFFREN
97460 SAINT-PAUL", SAINT-PAUL,,84827995600025,,,OUI apprenti le 17/03/2026 Non of
galmar.commercial@disciplina.re,,,COLOMBE,0262 53 44 32 / 0692 45 86 44,,2 RUE HELENE BOUCHER 97438 SAINTE-MARIE,SAINTE-MARIE,,50388550100026,,"Ne veut plus travailler avec disciplina, probléme avec l'URSAFF ",Non définitif LE 17/03/2026
galmar.commercial@disciplina.re,,,FYM IMMOBILIER,0692 77 54 26,,"40 RUE DU GENERAL DE GAULLE
97400 SAINT-DENIS",SAINT-DENIS,,99348050800015,,"Fait deja de la formation continue, pas intéréssé par des contrat d'apprentissage",Non définitif  17/03/2026
galmar.commercial@disciplina.re,,,DREAM DONUT'S,0692 28 71 74,, 27 RUE DES JAMBLONS,Saint-Benoit,,98361669900010,,Intéréssé formation ia ,Non apprenti- OUI OF le 17/03/2026
galmar.commercial@disciplina.re,,,PATISSERIE BURHANI ST ANDRE,02 62 14 45 10,jacques.amiroudine@gmail.com,757 ROCADE SUD 97440 SAINT-ANDRE,SAINT-ANDRE,,79388741500032,,,"Non of , oui apprenti le 18/03/2026"
galmar.commercial@disciplina.re,,,AU BON PAIN,0692 86 26 92,,,,,83921843500015,,,Ne repond pas le 24/03/2026
galmar.commercial@disciplina.re,,,VITO ST BENOIT,262502922,,BEAULIEU CENTRE COMMERCIAL 97437 SAINT-BENOIT,SAINT-BENOIT,,31083719000530,,,Responsable a rappeler le 2/04/2026
galmar.commercial@disciplina.re,,,VITO PLAINE DES PALMISTES,262 51 34 70,helenebijoux974@gmail.com,491 RUE DE LA REPUBLIQUE 97431 LA PLAINE-DES-PALMISTES,PLAINE DES PALMISTES,,31083719000225,,"A quelqu'un en formation continue, apprenti au complet mais veut une prise de contact","Au complet pour l'instant, prise de contact 25/03/2026"
galmar.commercial@disciplina.re,,,VITO QUARTIER-FRANCAIS,02 62 46 12 17,,"QUARTIER-FRANCAIS
55 AVENUE MAHATMA GANDHI
97441 SAINTE-SUZANNE", SAINTE-SUZANNE,,31083719000597,,,numero non attriubé le 25/03/2026
galmar.commercial@disciplina.re,,,VITO STE SUZANNE,0262 52 26 78,sse3vito@gmail.com,"3 AVENUE PIERRE MENDES FRANCE
97441 SAINTE-SUZANNE",SAINTE-SUZANNE,,31083719000134,,,veut voir les cv par mail le 25/03/2026? ARAPPELER POUR PLUS D'INFO
galmar.commercial@disciplina.re,,,VITO ST ANDRE CENTRE,0262 52 53 90,,295 AVENUE DE LA REPUBLIQUE 97440 SAINT-ANDRE,SAINT-ANDRE,,31083719000415,,,Pas attribué
galmar.commercial@disciplina.re,,,VITO ST BENOIT VILLE,0262 50 49 09,belairservice@orange.fr,"45 RUE GEORGES POMPIDOU
97470 SAINT-BENOIT",SAINT-BENOIT,,31083719000027,,,oui le 25/03/2026
galmar.commercial@disciplina.re,,,MYOTEC SAINT DENIS,Siége,run@myotec.fr, 177 I CHEMIN FINETTE,SAINT-DENIS,,98960216400018,,,
galmar.commercial@disciplina.re,,,MYOTEC,06 93 04 91 92,,CENTRE D'AFFAIRES DE LA MARE LES CUVE 30 RUE ANDRE LARDY ,ste marie,,98960216400026,,,A rappeler le 26/03/2026
galmar.commercial@disciplina.re,,,SALLE RECEPTION LE PALACE,262 692 56 86 90,,"RAVINE CREUSE
1 CITE ARTISANALE
97440 SAINT-ANDRE", SAINT-ANDRE,,49259914700039,,,A rappeler le 26/03/2026
galmar.commercial@disciplina.re,,,SNACK LE BERTY'S,693323927,,"86 BOULEVARD DE LA FRATERNITE
97438 SAINTE-MARIE",SAINTE-MARIE,,97922543000011,,,Ne repond pas le 25/03/2026
galmar.commercial@disciplina.re,,,RIVER SMOKED BARBECUE - RSB,693912803,,"93 RUE ROGER PAYET, 97438", SAINTE-MARIE,,90243336600017,,,Ne repond pas le 25/03/2026
galmar.commercial@disciplina.re,,,BOUCHON CHAN-FAT TRAITEUR,692626688,,4 RUE MONSEIGNEUR MONDON 97400 SAINT-DENIS,SAINT-DENIS,,92873636200015,,,
galmar.commercial@disciplina.re,,,LE BAOBAB,692057721,,"52 RUE LORY LES HAUTS, 97490 SAINT-DENIS",SAINT-DENIS,,81901813600013,,"non définitif, pas receptive",NON DEFINITIF LE 30/03/2026
galmar.commercial@disciplina.re,,,STATION PAQUIRY CHAMP BORNE,02 62 58 38 42,,1060 RUE DE CAMBUSTON,SAINT-ANDRE,,92245511800013,,,Ne repond pas le 25/03/2026
galmar.commercial@disciplina.re,,,ENGEN ROUTE DES PALMIER,0262 23 89 70,,PK 8 74 ROUTE DES PALMIERS 97417 SAINT-DENIS,SAINT-DENIS,,31355372900184,,,a rappeler dans un mois le 26/03/2026
galmar.commercial@disciplina.re,,,ENGEN CHAUDRON ,0262 28 06 03,,LE CHAUDRON 11 RUE ROGER PAYET 97490 SAINT-DENIS,,,31355372900150,,Appeler la rh 0692 02 56 77,Ne repond pas le 26/03/2026
galmar.commercial@disciplina.re,,,TERASSE KREOL,693320986,laterassekreolbyaldo@gmail.com,"1935 CHEMIN DU CENTRE, 97440 SAINT-ANDRE",SAINT-ANDRE,,88158256300014,,"A recruté un vendeur,a recontacter en juillet",Prise de contact le 30/03/2026
galmar.commercial@disciplina.re,,,Restaurant Velli,262460338,,336 CHEMIN DU COLOSSE ,SAINT-ANDRE,,80901744500028,,,
galmar.commercial@disciplina.re,,,snack bar le 33,0692 11 47 06 ,,,,,50802155700022,,,Non le 30/03/2026
galmar.commercial@disciplina.re,,,sarl mak price,0693 06 50 34 ,makprice@orange.fr,69 CENTRE COMMERCIAL,st andre ,,82155908500039,,,A REFLECHIR LE 30/03/2026
galmar.commercial@disciplina.re,,,ZNAG (OLA BOULEVARD DORET - OLA),0262 34 12 09,comptajaffar.social@gmail.com,10 BOULEVARD DORET,SAINT-DENIS,,83117278800034,,,OUI le 16/03/2026
galmar.commercial@disciplina.re,,,PMO AGENCY,262 693 87 37 81,recrutement@pmoagency.re,"45 RUE ALEXIS DE VILLENEUVE, 97400 SAINT-DENIS",SAINT-DENIS,,98225011000011,,Mission ne convient pas,OUI LE 26/03/02026
galmar.commercial@disciplina.re,,,HOTEL AUSTRAL,,,,,,83501493700014,,,
galmar.commercial@disciplina.re,,,HOTEL AUSTRAL,262944567,contact@hotel-austral.fr,RUE ALEXIS DE VILLENEUVE ,SAINT-DENIS,,41284220500012,,prise de contact,Non of et apprenti le 1/4/2026
galmar.commercial@disciplina.re,,,PRESTO CAFE 786,693301216,melaniehoussenaly@gmail.com,"IMMEUBLE RAMSAMY, 11 RUE LORY LES HAUTS, 97490 SAINT-DENIS",SAINT-DENIS,,53994297900011,,Pas pour le moment,Non of et apprenti le 1/4/2026
galmar.commercial@disciplina.re,,,LE QG,02 62 29 35 80,,"APT 71 - RESIDENCE TAMARINA - SAINTE C, 72 T AVENUE EUDOXIE NONGE, 97490 SAINT-DENIS", SAINT-DENIS,,88098414100023,,,NUMERO PAS BON
galmar.commercial@disciplina.re,,,RESTAURANT-BAR CHEZ JEAN MARC,692704088,sornom.lydie@gmail.com,"MODULE M11 ET M15 MARCHE ARTISANAL, 87 RUE LEOPOLD RAMBAUD, 97490 SAINT-DENIS",SAINT-DENIS,,33791584700046,,"peut être intéréssé par les aides
Prise de contact",A REFLCECHIR LE 1/4/2026
galmar.commercial@disciplina.re,,,RESTAURANTS CHEZ JIM,692616460,jimmyrouget63@gmail.com,"594 RUE DE CAMBUSTON
97440 SAINT-ANDRE",SAINT-ANDRE,,50837294300011,,"Pas pour le moment apprenti, ne veut pas l'of",NON LE 01/04/2026
galmar.commercial@disciplina.re,,,SCI INAYA,692649905,,"CHEMIN DU CENTRE, 222 RUELLE PAPOU, 97440 SAINT-ANDRE",SAINT-ANDRE,,92143720800017,,,FERME DEFINITIVEMENT
galmar.commercial@disciplina.re,,,MK GRILL,692251615,,"39 RUE DU PERE LE BOSSU, 97438 SAINTE-MARIE",SAINTE-MARIE,,91756593900019,,,Veut mais travail uniquement le dimanche
galmar.commercial@disciplina.re,,,LA DAME BLANCE,"
+262 262 46 98 63",,"LA BRETAGNE, 181 B RTE GABRIEL MACE, 97400 SAINT DENIS",SAINT-DENIS,,95277630000016,,,NUMERO PAS BON
galmar.commercial@disciplina.re,,,RAPID'LOC,692431451,contact.rapidloc@gmail.com,"BOIS DE NEFLES SAINTE-CLOTILDE, 65 B ROUTE DU PITON, 97400 SAINT-DENIS",SAINT-DENIS,,92785247500015,,Pas pour le moment,NON LE 01/04/2026
galmar.commercial@disciplina.re,,,GP LOCATION,262 692 37 03 80,infos@gplocation.fr,"LA GRANDE MONTEE, 34 RUE DE LA PLANTATION, 97438 SAINTE-MARIE",SAINTE-MARIE,,48286847800017,,"Pas intéréssé apprentissage, se renseigne sur of",NON le 01/04/2026
galmar.commercial@disciplina.re,,,LOCALEX,692045607,,"SAINTE CLOTILDE, 1 CHEMIN DUFOURG LES HAUTS, 97490 SAINT-DENIS",SAINT-DENIS,,91127439700049,,manque d'espace et ne veut pas collaborer,NON LE 01/04/2026
galmar.commercial@disciplina.re,,,RUN AUTO BOUVET,693303110,,"ANCIENNE ROUTE DU MOUFIA, 100 AVENUE MARCEL HOARAU, 97490 SAINT-DENIS", SAINT-DENIS,,75150565200022,,,Ne repond pas le 02/04/2026
galmar.commercial@disciplina.re,,,ENGEN ST BENOIT,02 62 30 60 60,stationbf2services@gmail.com,BRAS FUSIL 11 ROUTE NATIONALE 3 97470 SAINT-BENOIT, SAINT-BENOIT,,31355372900341,,,Trop d'apprenti le 1/04/2026
galmar.commercial@disciplina.re,,,le malayalam,692774380,,"10 RUE DE L'EGLISE, 97470 SAINT-BENOIT",,,83355912300025,,Ne repond pas le 01/04/2026,
galmar.commercial@disciplina.re,,,LE  BOSPHORE,692471018,,"RIVIERE DES ROCHES
289 ROUTE NATIONALE 2
97470 SAINT-BENOIT",SAINT-BENOIT,,50085935000075,,,
galmar.commercial@disciplina.re,,,libre services jimmy,0262 48 92 77 ,,70 ROUTE DU PITON,st denis ,,52226241900016,,,Ne repond pas le 02/04/2026
galmar.commercial@disciplina.re,,,lib services des hauts,0692 66 31 42 ,,2 B CHEMIN CELERINE 97412 BRAS-PANON,BRAS-PANON,,44089080400014,,,
galmar.commercial@disciplina.re,,,LES EDITIONS DU KAPOKIER,0692 66 31 42 ,,	80 RUE PASTEUR,,,41190875900011,,,
galmar.commercial@disciplina.re,,,Vjd Services,692735935,,Bras Pistolet 10 Ter chemin Glaïeuls 97441 Sainte Suzanne,sainte-suzanne,,38168940500029,,mission ne correspondent pas le 4/04/2026,Mission pas adapté le 02/04/2026
galmar.commercial@disciplina.re,,,POUR LES FLINGUERS,,,"APPT 4 - RESIDENCE TERRASSE ACAJOU -SAINTE- CLOTILDE
3 CHEMIN DES ACAJOUS
97490 SAINT-DENIS",SAINT-DENIS,,93790301100016,,,
galmar.commercial@disciplina.re,,,TOTAL BRAS PANON,0692 03 46 78 ,stationbraspanon@gmail.com,65 ROUTE NATIONALE 2 97412 BRAS-PANON,BRAS-PANON,Madame ROGER NADEGE,80902756800017,,Veut des cc de 18-22 ans,oui le 07/04/2026
galmar.commercial@disciplina.re,,,engen bois de nefles,02 62 21 16 69,,"53 RUE DU BOIS DE NEFLES, 97400 SAINT-DENIS",SAINT-DENIS,,40323921300016,,a appeler entre 12Het 14h pour avoir les responsable,a reflechir le 07/04/2026
galmar.commercial@disciplina.re,,,TOTAL BOULEVARD DORET,0262 30 19 17,,"BOULEVARD DORET
97400 SAINT-DENIS",SAINT-DENIS,,78006040600359,,,ne repond pas le 07/04/2026
galmar.commercial@disciplina.re,,,STATION PAQUIRY CHAMP BORNE,02 62 58 38 42 / 02 62 58 38 42,,1060 RUE DE CAMBUSTON,SAINT-ANDRE,,92245511800013,,,ne repond pas le 07/04/2026
galmar.commercial@disciplina.re,,,VITO QUARTIER FRANCAIS,09 76 32 03 41,mp.service433@gmail.com,QUARTIER-FRANCAIS 55 AVENUE MAHATMA GANDHI 97441 SAINTE-SUZANNE,SAINTE-suzanne,MR LOPE 0692 13 96 36,31083719000597,,Coordonés du responsable obtenu mais ne repond pas,ne repond pas le 07/04/2026
galmar.commercial@disciplina.re,,,VITO ST BENOIT RN2,02 62 50 29 22,,ROUTE NATIONALE 2 97470 SAINT-BENOIT, SAINT-BENOIT,,31083719000647,,a rappeler en fin de journée le 07/04/2026,A RAPPELER PLUS TARD LE 07/04/2026
galmar.commercial@disciplina.re,,,TOTAL GRANDE MONTEE, 262 53 77 85,,CR N 2 17 RUE DE LA GRANDE MONTEE 97438 SAINTE-MARIE,SAINTE-MARIE,,78006040600334,,,
galmar.commercial@disciplina.re,,,TOTAL LES CAFES ,02 62 72 18 60,stationlescafes.responsable@orange.fr,STATION LES CAFES RTE NATIONALE 2 97438 SAINTE-MARIE, SAINTE-MARIE,,78006040600318,,au complet pour le moment,Non le 09/04/2026
galmar.commercial@disciplina.re,,,TOTAL CAMBUSTON,0262 46 26 01,,ROUTE NATIONALE 112 RUE DE CAMBUSTON 97440 SAINT-ANDRE,SAINT-ANDRE,,78006040600151,,,Ne repond pas le 08/°4/2026
galmar.commercial@disciplina.re,,,Vilobi Réunion,693668732,,	33 CHEMIN DE L'ETAT MAJOR,saint-denis,,93111189200010,,,Pas intéréssé le 08/04/2026
galmar.commercial@disciplina.re,,,Run Car OI,06 92 55 83 38,runcaroi@outlook.fr,14 RUE DE LA GUADELOUPE,Saint Denis,,89759703500012,,,Attente de reponse le 08/04/2026
galmar.commercial@disciplina.re,,,smok eat, 693 87 98 40,,83 BOULEVARD DE SAINT FRANCOIS,saint-denis,,84015100500021,,,Ne repond pas le 08/°4/2026
galmar.commercial@disciplina.re,,,LE CRAC'CLAIN,693644518,,"LOCAL 2, 120 CHEMIN LAGOURGUE, 97440 SAINT-ANDRE",SAINT-ANDRE,,89355121800017,,,Ne repond pas le 08/°4/2026
galmar.commercial@disciplina.re,,,LISANA BOUTIQUE,692681685,,25 RUE DU MARECHAL LECLERC 97400 SAINT-DENIS,SAINT-DENIS,,89056770400030,,,2 OUI LE 08/04/2026
galmar.commercial@disciplina.re,,,les milles epis,0692 00 33 64,lesmillepis@gmail.com,22 BOULEVARD NOTRE DAME DE LA TRINITE ,SAINT DENIS,,80355960800010,,Au complet pour le moment,Non le 08/04/2026
galmar.commercial@disciplina.re,,,FAYANNE BOUTIQUE,693323297,,,,,91153192900022,,,Repondeur le 08/04/2026
galmar.commercial@disciplina.re,,,HERA,,,"280 CHEMIN CHAMP BORNE
97440 SAINT-ANDRE",SAINT-ANDRE,,83327325300017,,,
galmar.commercial@disciplina.re,,,LA TERRASSES DU QUARTIER,692477363,,"CITE GESLIN
56 RUELLE DES OEILLETS
97438 SAINTE-MARIE", SAINTE-MARIE,,,,,numero non attribué le 09/04/2026
galmar.commercial@disciplina.re,,,"
FRERES METIS BURGER 
",262 70 09 84,,LOCAL NUMERO 1 - ZAC DE BEAUSEJOUR 200 AVENUE DU BEAU PAYS 97438, SAINTE-MARIE,,83372921300060,,,
galmar.commercial@disciplina.re,,, SOA SUN PIZZA,693941384,,"19 CHEMIN IVOULA, 97438 SAINTE-MARIE",SAINTE-MARIE,,79034211700039,,,
galmar.commercial@disciplina.re,,,FYM IMMOBILIER,0692 77 54 26,,"
40 RUE DU GENERAL DE GAULLE 97400 SAINT-DENIS
",SAINT DENIS,,99348050800015,,,
lebon.commercial@disciplina.re,Emile ,"Ajirkan Aldoh , Ajirkan Samuel",Ajirkan Samuel,,"1603 AVENUE ILE DE FRANCE,",97440 SAINT-ANDRE,Commerce de détail de carburants en magasin spécialisé,,,,,
lebon.commercial@disciplina.re,Emile ,,262504368,service.recrutement@but.fr,,0262 50 43 68  contact@butlbd.com,aménagement ,90263309800014,,,,
lebon.commercial@disciplina.re,Emile ,"PARIS Jean , PARIS Genevieve",262291039,,"70 AVENUE MARECHAL DE LATTRE DE TASSIGNY, 97490 SAINT-DENIS",Sainte Clotilde 97490,Boulangerie et boulangerie-pâtisserie,43809200000000,ne répond pas,,,
lebon.commercial@disciplina.re,Emile ,,0693 63 52 32,,444 AVENUE ILE DE FRANCE,97440 SAINT-ANDRE,Commerce de détail de carburants en magasin spécialisé,,,,,
lebon.commercial@disciplina.re,Emile ,DILMAHAMOD MUHAMMAD,0262 92 40 40,,Ste Clotilde 19 r Lislet Geoffroy,97490 Saint Denis,Restauration de type rapide,97943819900015,,,,
lebon.commercial@disciplina.re,Emile ,,692558338,,41 BD JAWAHARLAL NEHRU ,97400,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)",90856426300014,,,,
lebon.commercial@disciplina.re,Emile ,,262569673,,21 RUE SAINTE MARIE,97400 SAINT-DENIS,Commerce de détail d'habillement en magasin spécialisé,49496300000000,,,,
lebon.commercial@disciplina.re,Emile ,Abdoul Nazila,02 62 28 85 85,contact@kenza.re,7 boulevard du Chaudron,97400 SAINT-DENIS,Vente à distance sur catalogue général,90856426300014,,,,
lebon.commercial@disciplina.re,Emile ,Cazal Jean-Louis,262023596,sabine.hoareau@gbh.f,2686 CHEMIN DU CENTRE ,97440 ST ANDRE,Fabrication d'appareils ménagers non électriques,32365100000000,non prend pas mais envoyé mail prise contact malgré tt,,,
lebon.commercial@disciplina.re,Emile ,Payet Marie,02 62 92 46 34,europcar-reunion@europcar-reunion.com,11 BOULEVARD DU CHAUDRON,97490 SAINT-DENIS,Location de courte durée de voitures et de véhicules automobiles légers,31085000000000,,,PC 19/08/2025,
lebon.commercial@disciplina.re,Emile ,BAMY AUTOMOBILES,02 62 20 02 22,,67 boulevard Chaudron Ste Clotilde ,97490 Saint Denis,Location de terrains et d'autres biens immobiliers,31085000000000,L'année prochaine pour le moment complet ,,,
lebon.commercial@disciplina.re,Emile ,QUINTESSENCE,02 62 20 10 01,,143 r Louis Lagourgue 97438 Sainte Marie,97438 Sainte Marie,00.00Z,51908200000000,,,,
lebon.commercial@disciplina.re,Emile ,CHEUNG AH SEUNG Jean-Charles,02 62 72 10 85,,32 r Coco Robert ,97438 Sainte Marie,Location de terrains et d'autres biens immobiliers,83398800000000,Déja complet,,,
lebon.commercial@disciplina.re,Emile ,FB DEVELOPPEMENT,02 62 42 49 49,,131 RUE DU MARECHAL LECLERC,97400 SAINT-DENIS,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels",33266300000000,,,,
lebon.commercial@disciplina.re,Emile ,Ravate Reshad,02 62 58 75 85,fatema.salmon@formarav.re,55 chemin Lefaguyes ,97440 Saint André,Fabrication d'appareils ménagers non électriques,81896000000000,,,Mail envoyé+pièces jointes  21/08/25 réponse  RAVATE dispose de son propre CFA,
lebon.commercial@disciplina.re,Emile ,Ravate Mohamed,02 62 46 79 33,,112 chemin Pente Sassy,97440 Saint André ,Centrales d'achat non alimentaires,42305900000000,OUI recrute mais dejà centre de forma ,,,
lebon.commercial@disciplina.re,Emile ,"ROUMMAAN , MOGALIA Zaitoun , BDO-HDM AUDIT",02 62 55 05 50,,11 rue Juliette Dodu , 97400 Saint Denis ,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus)",42305900000000,il faut passer sur place ,,,
lebon.commercial@disciplina.re,Emile ,Perie Vincent,02 62 48 88 48,client@isautier.re,Ste Clotilde 52 avenue Mar de Lattre de Tassigny ,97490 Saint Denis ,Administration d'immeubles et autres biens immobiliers,49171800000000,patron en congée j'ai donné mes coordonnées il va me rappeler ,,Mail envoyé+pièces jointes  21/08/25,
lebon.commercial@disciplina.re,Emile ,        SOCIETE GENERALE DE COMMERCE DE LA REUNION,06 92 76 66 40,recrutement@sogecore.re,209 rte Confiance ,97438 Sainte Marie,Commerce de voitures et de véhicules automobiles légers,42351100000000,oui recrute ils m'ont transmis mail patron ,,Mail envoyé+pièces jointes  21/08/25,
lebon.commercial@disciplina.re,Emile ,BEGUE JEAN MAX,06 92 23 74 89,,"ST FRANCOIS, CHEMIN DE LA CONVALESCENCE,",97400 SAINT-DENIS,Récupération de matières métalliques recyclables ou plomberie,82005500000000,OUI recrute et m'ont transmis le mail de recrutement ,,,
lebon.commercial@disciplina.re,Emile ,BARRET DOMINIQUE,02 62 20 02 80,climaservices@yahoo.fr,Ste Clotilde 20 Bis r Artisans,97490 Saint Denis,Travaux d'installation électrique dans tous locaux,45154500000000,NON prend pas travail à son compte seul.,,Mail envoyé+pièces jointes  21/08/25,
lebon.commercial@disciplina.re,Emile ,AKOONE MUSTAPHA,02 62 45 86 04,,Ste Clotilde 2 avenue Mar de Lattre de Tassigny Ste Clotilde  ,97490 Saint Denis,Travaux d'installation d'équipements thermiques et de climatisation,33246500000000,Pas pour le moment mais peut-être à venir,,,
lebon.commercial@disciplina.re,Emile ,Apavou Laurent,02 62 40 46 46,ventemotocenter@gmail.com,Ste Clotilde 124 rue Léopold Rambaud Ste Clotilde  ,97490 Saint Denis,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",80747800000000,rappeler le siège de saint paul,,Mail envoyé+pièces jointes  21/08/25,
lebon.commercial@disciplina.re,Emile ,MEGALION,02 62 23 87 04,,Zac Foucherolles Ste Clotilde 14 r Martinique Ste Clotilde ,97490 Saint Denis,Commerce et réparation de motocycles,"45196791300059
53331341700032",complet pour le moment mais m'a donné son mail,,,
lebon.commercial@disciplina.re,Emile ,Danis Didier,06 92 80 80 20,,86 rue Cryptomerias ,97470 Saint Benoît,Location et location-bail de machines et équipements pour la construction,50481900000000,OUI recrute et m'ont transmis le mail de recrutement ,,,
lebon.commercial@disciplina.re,Emile ,"Berche Yannis , KANE FANE Julien",02 62 48 30 30,,53 rue Ste Anne ,97400 Saint Denis ,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²)",50481900000000,,,,
lebon.commercial@disciplina.re,Emile ,Grunberg Olivier,02 62 90 25 25,,11 boulevard Chaudron ,Ste Clotilde 97490,"Captage, traitement et distribution d'eau",81750200000000,,,,
lebon.commercial@disciplina.re,Emile ,BAMY AUTOMOBILES,06 92 00 04 56,,Centre Commercial Grand Nord 75 r Karting Ste Clotilde ,97490 Saint Denis,"démarcher, vendre auto",47967300000000,passer sur place ,,,
lebon.commercial@disciplina.re,Emile ,NEWMAN INDUSTRIES,02 62 41 60 69,,102 rue Jules Auber ,97400 Saint Denis,Restauration de type rapide,92992700000000,,,,
lebon.commercial@disciplina.re,Emile ,GARCONNET Claudine,02 62 21 40 85,,142 rue Cambuston ,97440 Saint André,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",43763700000000,,,,
lebon.commercial@disciplina.re,Emile ,GAUDENS VIVIENNE MARIE SERGE,06 92 44 25 75,,51 rue Tessan Ste Clotilde ,97490 Saint Denis,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",49229400000000,rpd pas ,,Mail envoyé le 22/08/25,
lebon.commercial@disciplina.re,Emile ,HOARAU LISE MAY,02 62 41 99 12,,7 cité Daubin Berger Ste Anne ,97437 Saint Benoît ,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",95207200000000,Pour le moment non ,,,
lebon.commercial@disciplina.re,Emile ,JACQUALAT JEAN,02 62 28 03 06,,20 rue Bridet Ste Clotilde ,97490 Saint Denis ,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",48431700000000,Pas du tout intérésser ,,,
lebon.commercial@disciplina.re,Emile ,NICA FLEURS,06 92 31 53 36,,25 chemin Longoses ,97400 Saint Denis ,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",40955000000000,NON ne veut pas ,,,
lebon.commercial@disciplina.re,Emile ,XAVIER THIERRY,02 62 37 68 06,,Duparc 143 rue Louis Lagourgue ,97438 Sainte Marie,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",44325900000000,déjà complet pas intéresser ,,,
lebon.commercial@disciplina.re,Emile ,BOYER MARIE JOELLE,02 62 46 20 20,,67 avenue Leconte de Lisle Ste Clotilde ,97490 Saint Denis,Autres activités de poste et de courrier,53941300000000,travaille seule ne veut pas ,,,
lebon.commercial@disciplina.re,Emile ,ANDY Jean,02 62 41 06 44,,1421 chemin Grand Canal ,97440 Saint André ,Cuisson de produits de boulangerie,48946600000000,NON ne veut pas ,,,
lebon.commercial@disciplina.re,Emile ,ROBERT BENOIT,02 62 93 91 23,,10 place Sarda Garriga ,97400 Saint Denis ,Restauration de type rapide,89772400000000,,,,
lebon.commercial@disciplina.re,Emile ,AGOE,02 62 48 86 00,www.vapiano.fr,St Denis Chaudron 1 rue Edouard Manès ,97490 Saint Denis,Conseil pour les affaires et autres conseils de gestion Restauration ,52334900000000,oui ,,mail envoyé le 22/08/25,
lebon.commercial@disciplina.re,Emile ,Caille Francois,02 62 55 28 00,www.peugeot.re,2 rue Neuve ,97400 Saint Denis ,Commerce de voitures et de véhicules automobiles légers,39958300000000,,,,
